RowID,Citation,URL_Kind,URL,HTTP_Code,Final_URL,Content_Type,Size_Bytes,Text_Chars,Verdict,Notes
CORE-15,Gross — emotion regulation timeline,readable,https://spl.stanford.edu/pdfs/1998%20Gross%20-%20The%20Emerging%20Field%20of%20Emotion%20Regulation.pdf,404,https://spl.stanford.edu/pdfs/1998%20Gross%20-%20The%20Emerging%20Field%20of%20Emotion%20Regulation.pdf,text/html; charset=UTF-8,33010,0,BAD_DEAD,HTTP 404
CORE-15,Gross — emotion regulation timeline,landing,https://doi.org/10.1037/1089-2680.2.3.271,403,https://journals.sagepub.com/doi/10.1037/1089-2680.2.3.271,text/html; charset=UTF-8,3362,0,BAD_BLOCKED,HTTP 403
CORE-16,Csikszentmihalyi — Flow,readable,https://archive.org/details/flowpsychologyof0000csik,200,https://archive.org/details/flowpsychologyof0000csik,text/html; charset=UTF-8,51181,6246,OK_LANDING,"HTML 6246 chars; markers: ['log in', 'purchase']"
CORE-16,Csikszentmihalyi — Flow,landing,https://www.harpercollins.com/products/flow-mihaly-csikszentmihalyi,200,https://www.harpercollins.com/products/flow-mihaly-csikszentmihalyi,text/html; charset=utf-8,89021,12845,OK_LANDING,"HTML 12845 chars; markers: ['log in', 'login', 'sign in', 'purchase', 'checkout', 'add to cart']"
CORE-17,Kazdin — Single-Case Research Designs,readable,https://archive.org/details/singlecaseresear00alan,200,https://archive.org/details/singlecaseresear00alan,text/html; charset=UTF-8,51965,6453,OK_LANDING,HTML 6453 chars; markers: ['log in']
CORE-17,Kazdin — Single-Case Research Designs,landing,https://books.google.com/books/about/Single_Case_Research_Designs.html?id=RvrTEQAAQBAJ,200,https://books.google.com/books/about/Single_Case_Research_Designs.html?id=RvrTEQAAQBAJ,text/html; charset=UTF-8,91671,4584,OK_LANDING,HTML 4584 chars; markers: ['sign in']
CORE-18,Tate et al. — SCRIBE 2016 reporting guideline,readable,https://www.equator-network.org/reporting-guidelines/scribe-statement/,200,https://www.equator-network.org/reporting-guidelines/scribe-statement/,text/html; charset=UTF-8,12717,3626,OK_HTML,HTML 3626 chars
CORE-18,Tate et al. — SCRIBE 2016 reporting guideline,landing,https://academic.oup.com/ptj/article/96/7/e1/2864911,403,https://academic.oup.com/ptj/article/96/7/e1/2864911,text/html; charset=UTF-8,3303,0,BAD_BLOCKED,HTTP 403
CORE-19,Klasnja et al. — Micro-randomized trials,readable,https://pmc.ncbi.nlm.nih.gov/articles/PMC5820391/,200,https://pmc.ncbi.nlm.nih.gov/articles/PMC5820391/,text/html; charset=utf-8,8042,143,BAD_STUB,"HTML stub, only 143 chars; markers: ['captcha']"
CORE-19,Klasnja et al. — Micro-randomized trials,landing,https://doi.org/10.1016/j.cct.2015.07.003,200,https://linkinghub.elsevier.com/retrieve/pii/S1551714415300392,text/html;charset=UTF-8,2729,11,BAD_STUB,"HTML stub, only 11 chars; markers: []"
CORE-20,Collins — Multiphase Optimization Strategy (MOST),readable,https://methodology.psu.edu/wp-content/uploads/2020/05/Collins-2018-MOST-Overview.pdf,404,https://bpb-us-e1.wpmucdn.com/404.html,text/html,6408,0,BAD_DEAD,HTTP 404
CORE-20,Collins — Multiphase Optimization Strategy (MOST),landing,https://www.springer.com/gp/book/9783319722054,200,https://link.springer.com/book/9783319722054,text/html; charset=utf-8,3038,190,BAD_STUB,"HTML stub, only 190 chars; markers: []"
A1-01,Hui — The Question Concerning Technology in China,readable,https://ia800505.us.archive.org/20/items/cyclonopedia-negarestani-reza/The_Question_Concerning_Technology_in_China--_Yuk_Hui.pdf,200,https://ia800505.us.archive.org/20/items/cyclonopedia-negarestani-reza/The_Question_Concerning_Technology_in_China--_Yuk_Hui.pdf,application/pdf,3839244,184,BAD_SCANNED,"PDF 348p, NO text layer (scanned/image-only, needs OCR)"
A1-01,Hui — The Question Concerning Technology in China,landing,https://brill.com/previewpdf/view/journals/dias/4/3/article-p316_316.xml,200,https://brill.com/previewpdf/view/journals/dias/4/3/article-p316_316.xml,application/pdf,35474,5021,OK_READABLE,"PDF 2p, text layer OK (5021 chars in first 2p)"
A1-02,Hui — Cosmotechnics as Cosmopolitics,readable,https://www.e-flux.com/journal/86/161887/cosmotechnics-as-cosmopolitics/,200,https://www.e-flux.com/journal/86/161887/cosmotechnics-as-cosmopolitics,text/html; charset=utf-8,40757,7314,OK_LANDING,HTML 7314 chars; markers: ['subscribe']
A1-02,Hui — Cosmotechnics as Cosmopolitics,landing,https://digitalmilieu.net/1248/cosmotechnics-as-cosmopolitics/,200,https://digitalmilieu.net/1248/cosmotechnics-as-cosmopolitics/,text/html; charset=UTF-8,98857,4263,OK_HTML,HTML 4263 chars
A1-03,Hui — Art and Cosmotechnics,readable,https://www.e-flux.com/books/327526/art-and-cosmotechnics,200,https://www.e-flux.com/books/327526/art-and-cosmotechnics,text/html; charset=utf-8,19190,4764,OK_LANDING,HTML 4764 chars; markers: ['subscribe']
A1-03,Hui — Art and Cosmotechnics,landing,https://www.upress.umn.edu/9781517909543/art-and-cosmotechnics/,200,https://www.upress.umn.edu/9781517909543/art-and-cosmotechnics/,text/html; charset=UTF-8,21218,4638,OK_HTML,HTML 4638 chars
A1-04,Hui & Lemmens (eds.) — Cosmotechnics (Anthropocene),readable,https://api.pageplace.de/preview/DT0400.9781000396324_A40918824/preview-9781000396324_A40918824.pdf,200,https://api.pageplace.de/preview/DT0400.9781000396324_A40918824/preview-9781000396324_A40918824.pdf,application/pdf,3302064,2075,OK_READABLE,"PDF 17p, text layer OK (2075 chars in first 4p)"
A1-04,Hui & Lemmens (eds.) — Cosmotechnics (Anthropocene),landing,https://www.routledge.com/Cosmotechnics-For-a-Renewed-Concept-of-Technology-in-the-Anthropocene/Hui-Lemmens/p/book/9780367769376,200,https://www.routledge.com/Cosmotechnics-For-a-Renewed-Concept-of-Technology-in-the-Anthropocene/Hui-Lemmens/p/book/9780367769376,text/html; charset=UTF-8,45961,5981,OK_LANDING,"HTML 5981 chars; markers: ['login', 'purchase', 'add to cart']"
